## These are comments,,,,,,,,,,,,,,,,,,
# Expecting the following format for each row,,,,,,,,,,,,,,,,,,
# Player,character,alt,character,alt,character,alt,character,alt,character,alt,character,alt,,,,,,
NibbyNibbyNub,Zetterburn,T_Zet_Cheetah_Blue_CSP
elkiies,Maypul,T_May_WinterStoat_Neutral_CSP,Zetterburn,T_Zet_Panther_Blue_CSP
Spiceepicklez,Clairen,T_Cla_L%C3%A9on_Green_CSP
Raven,Loxodont,T_Lox_Hockey_Green_CSP
Robb With 2 Bs,Orcane,T_Orc_Genesis_Neutral_CSP
Mkok,Zetterburn,T_Zet_Default_Neutral_CSP
Virgo,Orcane,T_Orc_Clownfish_Green_CSP,Olympia,T_Oly_Lovers_Green_CSP
Spyker,Zetterburn,T_Zet_Lovers_Neutral_CSP
JuanSolo,Loxodont,T_Lox_Lovers_Mint_CSP
BGunn,Olympia,T_Oly_LowPoly_Blue_CSP,Clairen,T_Cla_Champion_Blue_CSP
Sourkroutt,Clairen,T_Cla_Ranger_Neutral_CSP
leggy145,Kragg,T_Kra_Rockstar_Neutral_CSP
Godly,Ranno,T_Ran_Champion_Blue_CSP
OneHandFrank,Random,T_Ran_Black,Clairen,T_Cla_Default_Neutral_CSP,Zetterburn,T_Zet_Retro_Red_CSP
RobotRed,Olympia,T_Oly_Default_Neutral_CSP,Fleet,T_Fle_Default_Red_CSP
Magma,Wrastor,T_Wra_Primal_Red_CSP
Treelst,Wrastor,T_Wra_Parrot_Red_CSP
Oculus,Maypul,T_May_Skunk_Neutral_CSP
Minty!,Olympia,T_Oly_Default_White_CSP
ManNeeTee12,Loxodont,T_Lox_Default_Blue_CSP
ZAP,Absa,T_Abs_Default_Yellow_CSP
Markrealth,Etalus,T_Eta_Lucha_Blue_CSP,Kragg,T_Kra_Rockstar_Blue_CSP,Loxodont,T_Lox_Hockey_Green_CSP,Random,T_Ran_Blue
Ross,Zetterburn,T_Zet_Flavorburn_Green_CSP
Drewsephix,Orcane,T_Orc_Genesis_Neutral_CSP,Absa,T_Abs_Mecha_Red_CSP,Slade,T_Sla_Lovers_Neutral_CSP
Bowler,Clairen,T_Cla_Default_CoolBlue_CSP
hotel pneumario,Etalus,T_Eta_Striped_Red_CSP
Shard,Fleet,T_Fle_Summer_Blue_CSP,Maypul,T_May_Pirate_Red_CSP,Absa,T_Abs_Abyss_Blue_CSP
SapphireGD,Zetterburn,T_Zet_Cheetah_Blue_CSP
